1	371
10	129
100	153
10000	1
10001	1
10002	1
10003	2
10004	1
10005	1
10006	4
10007	2
10008	1
10009	1
1001	46
10010	3
10011	1
10012	1
10013	1
10014	1
10015	1
10016	1
10017	1
10018	2
10019	1
1002	128
10020	1
10021	1
10022	1
10023	1
10024	1
10025	9
10026	17
10027	1
10028	1
10029	2
1003	4
10030	1
10031	1
10032	1
10033	1
10034	17
10035	6
10036	7
10038	37
10039	12
1004	73
10040	26
10041	16
10042	38
10043	16
10044	33
10045	12
10046	11
10047	54
10048	14
10049	3
1005	22
10050	6
10051	1
10052	1
10053	1
10054	1
10055	1
10056	1
10057	1
10058	1
1006	54
10060	2
10061	8
10064	1
10065	1
10066	1
10067	1
10068	1
10069	1
1007	27
10070	1
10071	1
10072	1
10073	1
10074	1
10075	1
10076	1
10078	1
10079	1
1008	4
10080	12
10081	7
10082	1
10083	14
10084	2
10085	1
10086	1
10087	1
10088	2
10089	1
1009	27
10090	1
10093	2
10094	4
10095	4
10096	3
10097	3
10098	3
10099	4
101	72
1010	912
10100	4
10101	2
10102	3
10103	3
10104	2
10105	4
10106	3
10107	4
10108	4
10109	3
1011	30
10110	4
10111	4
10112	3
10113	2
10114	3
10115	4
10116	4
10117	4
10118	4
10119	4
10120	2
10121	2
10122	2
10123	3
10124	4
10125	3
10126	3
10127	1
1013	1
10130	3
10131	1
10132	3
10133	1
10134	1
10135	2
10136	1
10137	1
10138	1
10139	1
1014	3
10140	1
10141	1
10142	2
10143	1
10144	1
10145	1
10146	1
10147	1
10148	2
10149	2
1015	3
10150	1
10151	1
10152	1
10153	1
10154	1
10155	1
10156	1
10157	1
10158	1
10159	1
1016	3
10160	1
10161	1
10162	1
10163	12
10164	27
10165	28
10166	16
10167	30
10168	35
10169	22
1017	7
10170	18
10171	33
10172	17
10173	95
10174	15
10175	71
10176	17
10177	32
10178	18
10179	25
1018	3
10180	23
10181	22
10182	55
10183	48
10184	22
10185	46
10186	35
10187	26
10188	20
10189	158
1019	110
10190	42
10191	20
10192	83
10193	15
10194	14
10195	43
10196	30
10197	14
10198	20
10199	16
102	135
1020	3
10200	31
10201	12
10202	23
10203	41
10204	74
10205	13
10206	15
10207	14
10208	51
10209	19
1021	7
10210	13
10211	118
10212	19
10213	35
10214	39
10215	12
10216	25
10217	26
10218	12
10219	12
1022	1
10220	92
10221	38
10222	12
10223	16
10224	48
10225	49
10226	138
10228	5
10229	129
1023	23
10230	4
10231	4
10232	4
10233	4
10234	1
10235	1
10236	2
10237	1
10238	1
10239	1
1024	1
10240	1
10241	1
10242	1
10243	2
10244	3
10245	54
10246	192
10247	236
10248	184
10249	76
1025	11
10250	310
10251	20
10252	28
10253	25
10254	28
10255	27
10256	151
10257	138
10258	2
10259	128
1026	129
10260	471
10261	131
10262	5
10263	204
10264	97
10265	20
10266	5
10267	32
10269	27
1027	9
10270	2
10271	1
10272	2
10273	2
10274	10
10275	14
10276	7
10277	13
10278	5
10279	13
1028	84
10280	6
10281	13
10282	5
10283	16
10284	7
10285	25
10286	7
10287	8
10288	33
10289	6
1029	59
10290	13
10291	6
10292	7
10293	6
10294	7
10295	5
10296	10
10297	9
10298	13
